Request: insert
Med (μs): 53.211
Min (μs): 47.039
Max (μs): 1894.842
90% (μs): 54.954
99% (μs): 58.390
99.9% (μs): 61.316
Request: replace
Batch size: 1
RPS: 18725
Avg (μs): 53.404
Med (μs): 52.991
Min (μs): 46.799
Max (μs): 1580.167
90% (μs): 54.963
99% (μs): 57.839
99.9% (μs): 60.354
Request: delete
Batch size: 1
RPS: 18664
Avg (μs): 53.579
Med (μs): 53.171
Min (μs): 46.858
Max (μs): 1453.388
90% (μs): 55.074
99% (μs): 58.260
99.9% (μs): 60.795
Request: insert
Batch size: 1
RPS: 18717
Avg (μs): 53.429
Med (μs): 52.990
Min (μs): 47.009
Max (μs): 1463.196
90% (μs): 54.954
99% (μs): 58.180
99.9% (μs): 61.206
Request: select
Batch size: 1
RPS: 18618
Avg (μs): 53.710
Med (μs): 53.300
Min (μs): 47.259
Max (μs): 437.036
90% (μs): 55.184
99% (μs): 58.541
99.9% (μs): 61.456
Request: replace
Batch size: 1
RPS: 18769
Avg (μs): 53.280
Med (μs): 52.910
Min (μs): 46.969
Max (μs): 1443.058
90% (μs): 54.493
99% (μs): 57.979
99.9% (μs): 60.965
Request: delete
Batch size: 1
RPS: 18671
Avg (μs): 53.560
Med (μs): 53.161
Min (μs): 47.159
Max (μs): 1450.091
90% (μs): 55.044
99% (μs): 58.130
99.9% (μs): 60.574
Request: insert
Batch size: 1
RPS: 18740
Avg (μs): 53.361
Med (μs): 52.970
Min (μs): 46.708
Max (μs): 1440.353
90% (μs): 54.874
99% (μs): 57.770
99.9% (μs): 59.913
Request: select
Batch size: 1
RPS: 18651
Avg (μs): 53.616
Med (μs): 53.221
Min (μs): 47.470
Max (μs): 1437.316
90% (μs): 55.104
99% (μs): 57.849
99.9% (μs): 60.133
Request: replace
Batch size: 1
RPS: 18730
Avg (μs): 53.390
Med (μs): 52.960
Min (μs): 47.179
Max (μs): 1475.114
90% (μs): 54.923
99% (μs): 58.180
99.9% (μs): 61.045
Request: delete
Batch size: 1
RPS: 18645
Avg (μs): 53.633
Med (μs): 53.221
Min (μs): 47.469
Max (μs): 18875.021
90% (μs): 55.084
99% (μs): 58.050
99.9% (μs): 60.424
Request: insert
Batch size: 1
RPS: 18713
Avg (μs): 53.440
Med (μs): 53.060
Min (μs): 47.289
Max (μs): 1405.033
90% (μs): 54.854
99% (μs): 58.060
99.9% (μs): 60.414
Request: select
Batch size: 1
RPS: 18638
Avg (μs): 53.653
Med (μs): 53.270
Min (μs): 47.069
Max (μs): 1404.522
90% (μs): 54.904
99% (μs): 58.500
99.9% (μs): 61.577
Request: replace
Batch size: 1
RPS: 18742
Avg (μs): 53.356
Med (μs): 52.990
Min (μs): 47.019
Max (μs): 12459.505
90% (μs): 54.573
99% (μs): 57.819
99.9% (μs): 60.183
Request: delete
Batch size: 1
RPS: 18590
Avg (μs): 53.791
Med (μs): 53.370
Min (μs): 47.018
Max (μs): 1412.446
90% (μs): 55.324
99% (μs): 58.721
99.9% (μs): 61.717
Request: insert
Batch size: 1
RPS: 18644
Avg (μs): 53.638
Med (μs): 53.161
Min (μs): 47.600
Max (μs): 1422.165
90% (μs): 55.275
99% (μs): 58.190
99.9% (μs): 61.056
Request: select
Batch size: 1
RPS: 18615
Avg (μs): 53.720
Med (μs): 53.350
Min (μs): 47.109
Max (μs): 1510.192
90% (μs): 55.054
99% (μs): 58.109
99.9% (μs): 60.434
Request: replace
Batch size: 1
RPS: 18731
Avg (μs): 53.388
Med (μs): 52.950
Min (μs): 46.918
Max (μs): 1638.595
90% (μs): 54.954
99% (μs): 58.130
99.9% (μs): 60.684
Request: delete
Batch size: 1
RPS: 18678
Avg (μs): 53.539
Med (μs): 53.121
Min (μs): 47.359
Max (μs): 1628.396
90% (μs): 55.044
99% (μs): 58.140
99.9% (μs): 60.865
Request: insert
Batch size: 1
RPS: 18694
Avg (μs): 53.492
Med (μs): 53.070
Min (μs): 47.109
Max (μs): 1642.041
90% (μs): 55.044
99% (μs): 57.959
99.9% (μs): 60.284
Request: select
Batch size: 1
RPS: 18670
Avg (μs): 53.562
Med (μs): 53.141
Min (μs): 47.209
Max (μs): 1651.559
90% (μs): 55.094
99% (μs): 58.310
99.9% (μs): 61.056
Request: replace
Batch size: 1
RPS: 18748
Avg (μs): 53.338
Med (μs): 52.950
Min (μs): 46.648
Max (μs): 1648.664
90% (μs): 54.834
99% (μs): 58.070
99.9% (μs): 61.065
Request: delete
Batch size: 1
RPS: 18651
Avg (μs): 53.616
Med (μs): 53.131
Min (μs): 46.828
Max (μs): 1677.238
90% (μs): 55.155
99% (μs): 58.390
99.9% (μs): 60.905
Request: insert
Batch size: 1
RPS: 18720
Avg (μs): 53.417
Med (μs): 52.950
Min (μs): 46.988
Max (μs): 417.158
90% (μs): 55.014
99% (μs): 58.190
99.9% (μs): 61.266
Request: select
Batch size: 1
RPS: 18618
Avg (μs): 53.711
Med (μs): 53.230
Min (μs): 47.029
Max (μs): 3161.411
90% (μs): 55.304
99% (μs): 58.591
99.9% (μs): 61.396
Request: replace
Batch size: 1
RPS: 18736
Avg (μs): 53.373
Med (μs): 52.930
Min (μs): 46.799
Max (μs): 3215.804
90% (μs): 54.934
99% (μs): 58.060
99.9% (μs): 60.504
Request: delete
Batch size: 1
RPS: 18629
Avg (μs): 53.678
Med (μs): 53.261
Min (μs): 46.978
Max (μs): 1458.004
90% (μs): 55.245
99% (μs): 58.000
99.9% (μs): 60.334
Request: insert
Batch size: 1
RPS: 18742
Avg (μs): 53.357
Med (μs): 52.970
Min (μs): 46.878
Max (μs): 1529.269
90% (μs): 54.773
99% (μs): 58.140
99.9% (μs): 61.075
Request: select
Batch size: 1
RPS: 18626
Avg (μs): 53.689
Med (μs): 53.260
Min (μs): 47.479
Max (μs): 1447.204
90% (μs): 55.215
99% (μs): 58.721
99.9% (μs): 61.737
Request: replace
Batch size: 1
RPS: 18691
Avg (μs): 53.501
Med (μs): 53.051
Min (μs): 47.309
Max (μs): 1469.275
90% (μs): 55.174
99% (μs): 58.290
99.9% (μs): 62.298
Request: delete
Batch size: 1
RPS: 18626
Avg (μs): 53.689
Med (μs): 53.245
Min (μs): 47.109
Max (μs): 1451.883
90% (μs): 55.274
99% (μs): 58.510
99.9% (μs): 61.626
Request: insert
Batch size: 1
RPS: 18690
Avg (μs): 53.505
Med (μs): 53.040
Min (μs): 47.099
Max (μs): 1424.250
90% (μs): 55.174
99% (μs): 58.019
99.9% (μs): 60.694
Request: select
Batch size: 1
RPS: 18603
Avg (μs): 53.755
Med (μs): 53.291
Min (μs): 47.019
Max (μs): 1497.650
90% (μs): 55.335
99% (μs): 58.881
99.9% (μs): 61.586
Request: replace
Batch size: 1
RPS: 18678
Avg (μs): 53.539
Med (μs): 53.080
Min (μs): 46.999
Max (μs): 258.939
90% (μs): 55.185
99% (μs): 57.940
99.9% (μs): 60.124
Request: delete
Batch size: 1
RPS: 18613
Avg (μs): 53.725
Med (μs): 53.231
Min (μs): 47.500
Max (μs): 1437.696
90% (μs): 55.325
99% (μs): 58.491
99.9% (μs): 61.416
Request: insert
Batch size: 1
RPS: 18707
Avg (μs): 53.455
Med (μs): 52.990
Min (μs): 46.668
Max (μs): 1405.656
90% (μs): 55.104
99% (μs): 57.889
99.9% (μs): 60.334
Request: select
Batch size: 1
RPS: 18588
Avg (μs): 53.797
Med (μs): 53.341
Min (μs): 47.410
Max (μs): 51624.694
90% (μs): 55.265
99% (μs): 58.510
99.9% (μs): 63.049
Request: replace
Batch size: 1
RPS: 18735
Avg (μs): 53.377
Med (μs): 52.970
Min (μs): 46.759
Max (μs): 1426.865
90% (μs): 54.914
99% (μs): 58.050
99.9% (μs): 62.618
Request: delete
Batch size: 1
RPS: 18554
Avg (μs): 53.897
Med (μs): 53.411
Min (μs): 47.219
Max (μs): 1459.758
90% (μs): 55.545
99% (μs): 58.641
99.9% (μs): 62.849
Request: insert
Batch size: 1
RPS: 18702
Avg (μs): 53.470
Med (μs): 52.980
Min (μs): 46.839
Max (μs): 1428.418
90% (μs): 55.104
99% (μs): 58.200
99.9% (μs): 62.357
Request: select
Batch size: 1
RPS: 18544
Avg (μs): 53.927
Med (μs): 53.461
Min (μs): 47.630
Max (μs): 1415.754
90% (μs): 55.535
99% (μs): 58.741
99.9% (μs): 62.829
Request: replace
Batch size: 1
RPS: 18611
Avg (μs): 53.730
Med (μs): 53.121
Min (μs): 46.959
Max (μs): 3752.599
90% (μs): 55.264
99% (μs): 58.561
99.9% (μs): 69.842
Request: delete
Batch size: 1
RPS: 18582
Avg (μs): 53.815
Med (μs): 53.341
Min (μs): 47.319
Max (μs): 20298.757
90% (μs): 55.414
99% (μs): 58.340
99.9% (μs): 61.426
Request: insert
Batch size: 1
RPS: 18657
Avg (μs): 53.598
Med (μs): 53.060
Min (μs): 47.058
Max (μs): 50499.641
90% (μs): 55.114
99% (μs): 58.260
99.9% (μs): 61.025
Request: select
Batch size: 1
RPS: 18611
Avg (μs): 53.732
Med (μs): 53.281
Min (μs): 47.309
Max (μs): 1662.029
90% (μs): 55.255
99% (μs): 58.581
99.9% (μs): 62.197
Request: replace
Batch size: 1
RPS: 18658
Avg (μs): 53.596
Med (μs): 53.120
Min (μs): 47.459
Max (μs): 1611.194
90% (μs): 55.154
99% (μs): 58.421
99.9% (μs): 67.227
Request: delete
Batch size: 1
RPS: 18446
Avg (μs): 54.211
Med (μs): 53.531
Min (μs): 47.360
Max (μs): 1647.112
90% (μs): 55.855
99% (μs): 58.881
99.9% (μs): 62.228
Request: insert
Batch size: 1
RPS: 18637
Avg (μs): 53.656
Med (μs): 53.201
Min (μs): 47.349
Max (μs): 1621.964
90% (μs): 55.264
99% (μs): 58.160
99.9% (μs): 60.924
Request: select
Batch size: 1
RPS: 18540
Avg (μs): 53.938
Med (μs): 53.470
Min (μs): 47.319
Max (μs): 1637.808
90% (μs): 55.544
99% (μs): 58.579
99.9% (μs): 63.168
Request: replace
Batch size: 1
RPS: 18643
Avg (μs): 53.639
Med (μs): 53.149
Min (μs): 47.017
Max (μs): 24321.381
90% (μs): 55.203
99% (μs): 58.319
99.9% (μs): 61.475
Request: delete
Batch size: 1
RPS: 18600
Avg (μs): 53.764
Med (μs): 53.290
Min (μs): 47.359
Max (μs): 25349.073
90% (μs): 55.263
99% (μs): 58.510
99.9% (μs): 62.206
Request: insert
Batch size: 1
RPS: 18694
Avg (μs): 53.494
Med (μs): 53.079
Min (μs): 46.918
Max (μs): 18150.608
90% (μs): 54.882
99% (μs): 58.138
99.9% (μs): 60.814
Request: select
Batch size: 1
RPS: 18587
Avg (μs): 53.802
Med (μs): 53.340
Min (μs): 47.409
Max (μs): 1469.162
90% (μs): 55.393
99% (μs): 58.730
99.9% (μs): 61.575
Request: replace
Batch size: 1
RPS: 18695
Avg (μs): 53.489
Med (μs): 53.040
Min (μs): 47.349
Max (μs): 509.164
90% (μs): 55.054
99% (μs): 57.969
99.9% (μs): 60.644
Request: delete
Batch size: 1
RPS: 18628
Avg (μs): 53.683
Med (μs): 53.249
Min (μs): 47.369
Max (μs): 1459.847
90% (μs): 55.253
99% (μs): 58.280
99.9% (μs): 61.064
Request: insert
Batch size: 1
RPS: 18719
Avg (μs): 53.421
Med (μs): 53.010
Min (μs): 46.828
Max (μs): 1507.057
90% (μs): 54.933
99% (μs): 57.939
99.9% (μs): 60.594
Request: select
Batch size: 1
RPS: 18576
Avg (μs): 53.834
Med (μs): 53.390
Min (μs): 47.479
Max (μs): 1454.780
90% (μs): 55.454
99% (μs): 58.380
99.9% (μs): 60.824
Request: replace
Batch size: 1
RPS: 18708
Avg (μs): 53.454
Med (μs): 53.000
Min (μs): 46.848
Max (μs): 1446.467
90% (μs): 55.033
99% (μs): 57.808
99.9% (μs): 60.293
Request: delete
Batch size: 1
RPS: 18608
Avg (μs): 53.741
Med (μs): 53.270
Min (μs): 47.099
Max (μs): 1451.006
90% (μs): 55.274
99% (μs): 58.851
99.9% (μs): 61.726
Request: insert
Batch size: 1
RPS: 18736
Avg (μs): 53.374
Med (μs): 52.970
Min (μs): 46.547
Max (μs): 1405.021
90% (μs): 54.863
99% (μs): 58.029
99.9% (μs): 60.804
Request: select
Batch size: 1
RPS: 18613
Avg (μs): 53.727
Med (μs): 53.320
Min (μs): 47.469
Max (μs): 1434.927
90% (μs): 55.253
99% (μs): 57.989
99.9% (μs): 60.444
Request: replace
Batch size: 1
RPS: 18698
Avg (μs): 53.482
Med (μs): 53.120
Min (μs): 47.199
Max (μs): 1463.302
90% (μs): 54.723
99% (μs): 57.819
99.9% (μs): 59.843
Request: delete
Batch size: 1
RPS: 18548
Avg (μs): 53.915
Med (μs): 53.500
Min (μs): 47.058
Max (μs): 1503.619
90% (μs): 55.485
99% (μs): 58.601
99.9% (μs): 61.276
Request: insert
Batch size: 1
RPS: 18668
Avg (μs): 53.567
Med (μs): 53.170
Min (μs): 46.908
Max (μs): 395.754
90% (μs): 55.134
99% (μs): 57.989
99.9% (μs): 60.053
Request: select
Batch size: 1
RPS: 18568
Avg (μs): 53.857
Med (μs): 53.381
Min (μs): 47.840
Max (μs): 1407.278
90% (μs): 55.424
99% (μs): 58.710
99.9% (μs): 61.165
Request: replace
Batch size: 1
RPS: 18664
Avg (μs): 53.579
Med (μs): 53.110
Min (μs): 47.369
Max (μs): 1430.913
90% (μs): 55.124
99% (μs): 58.310
99.9% (μs): 61.285
Request: delete
Batch size: 1
RPS: 18627
Avg (μs): 53.686
Med (μs): 53.280
Min (μs): 47.299
Max (μs): 1394.405
90% (μs): 55.274
99% (μs): 58.220
99.9% (μs): 60.564
Request: insert
Batch size: 1
RPS: 18700
Avg (μs): 53.476
Med (μs): 53.080
Min (μs): 47.149
Max (μs): 1439.631
90% (μs): 55.004
99% (μs): 58.089
99.9% (μs): 60.404
Request: select
Batch size: 1
RPS: 18544
Avg (μs): 53.925
Med (μs): 53.511
Min (μs): 47.429
Max (μs): 1592.188
90% (μs): 55.465
99% (μs): 58.460
99.9% (μs): 61.265
Request: replace
Batch size: 1
RPS: 18681
Avg (μs): 53.529
Med (μs): 53.100
Min (μs): 47.198
Max (μs): 1612.697
90% (μs): 55.094
99% (μs): 58.189
99.9% (μs): 61.045
Request: delete
Batch size: 1
RPS: 18569
Avg (μs): 53.854
Med (μs): 53.401
Min (μs): 47.360
Max (μs): 1633.867
90% (μs): 55.384
99% (μs): 58.981
99.9% (μs): 66.355
Request: insert
Batch size: 1
RPS: 18663
Avg (μs): 53.581
Med (μs): 53.140
Min (μs): 46.958
Max (μs): 1668.553
90% (μs): 55.154
99% (μs): 58.290
99.9% (μs): 60.995
Request: select
Batch size: 1
RPS: 18585
Avg (μs): 53.806
Med (μs): 53.391
Min (μs): 47.159
Max (μs): 1636.774
90% (μs): 55.355
99% (μs): 58.410
99.9% (μs): 61.466
Request: replace
Batch size: 1
RPS: 18698
Avg (μs): 53.481
Med (μs): 53.060
Min (μs): 46.527
Max (μs): 451.761
90% (μs): 55.064
99% (μs): 58.110
99.9% (μs): 61.356
Request: delete
Batch size: 1
RPS: 18622
Avg (μs): 53.700
Med (μs): 53.260
Min (μs): 46.748
Max (μs): 1631.995
90% (μs): 55.264
99% (μs): 58.491
99.9% (μs): 62.588
Request: insert
Batch size: 1
RPS: 18714
Avg (μs): 53.435
Med (μs): 52.940
Min (μs): 46.728
Max (μs): 3524.652
90% (μs): 55.024
99% (μs): 57.979
99.9% (μs): 61.095
Request: select
Batch size: 1
RPS: 18642
Avg (μs): 53.641
Med (μs): 53.270
Min (μs): 46.768
Max (μs): 2855.561
90% (μs): 55.054
99% (μs): 58.049
99.9% (μs): 60.304
Request: replace
Batch size: 1
RPS: 18713
Avg (μs): 53.439
Med (μs): 53.019
Min (μs): 47.109
Max (μs): 52528.720
90% (μs): 54.783
99% (μs): 58.000
99.9% (μs): 60.203
Request: delete
Batch size: 1
RPS: 18620
Avg (μs): 53.705
Med (μs): 53.301
Min (μs): 47.269
Max (μs): 8211.295
90% (μs): 55.214
99% (μs): 58.210
99.9% (μs): 60.804
Request: insert
Batch size: 1
RPS: 18593
Avg (μs): 53.785
Med (μs): 53.210
Min (μs): 47.159
Max (μs): 847.117
90% (μs): 55.384
99% (μs): 58.610
99.9% (μs): 61.906
Request: select
Batch size: 1
RPS: 18560
Avg (μs): 53.880
Med (μs): 53.391
Min (μs): 47.229
Max (μs): 2137.428
90% (μs): 55.435
99% (μs): 58.650
99.9% (μs): 61.736
Request: replace
Batch size: 1
RPS: 18671
Avg (μs): 53.560
Med (μs): 53.040
Min (μs): 46.668
Max (μs): 21762.802
90% (μs): 55.074
99% (μs): 58.440
99.9% (μs): 62.547
Request: delete
Batch size: 1
RPS: 18552
Avg (μs): 53.902
Med (μs): 53.361
Min (μs): 47.510
Max (μs): 9564.740
90% (μs): 55.455
99% (μs): 58.620
99.9% (μs): 62.027
Request: insert
Batch size: 1
RPS: 18676
Avg (μs): 53.546
Med (μs): 53.061
Min (μs): 47.480
Max (μs): 9250.976
90% (μs): 55.085
99% (μs): 58.431
99.9% (μs): 61.847
Request: select
Batch size: 1
RPS: 18579
Avg (μs): 53.824
Med (μs): 53.361
Min (μs): 47.601
Max (μs): 1335.239
90% (μs): 55.365
99% (μs): 58.541
99.9% (μs): 61.237
Request: replace
Batch size: 1
RPS: 18618
Avg (μs): 53.712
Med (μs): 53.231
Min (μs): 46.889
Max (μs): 802.896
90% (μs): 55.255
99% (μs): 58.471
99.9% (μs): 60.916
Request: delete
Batch size: 1
RPS: 18580
Avg (μs): 53.823
Med (μs): 53.321
Min (μs): 46.939
Max (μs): 815.749
90% (μs): 55.395
99% (μs): 58.752
99.9% (μs): 63.271
Request: insert
Batch size: 1
RPS: 18640
Avg (μs): 53.649
Med (μs): 53.161
Min (μs): 46.759
Max (μs): 1305.687
90% (μs): 55.185
99% (μs): 58.511
99.9% (μs): 61.817
Request: select
Batch size: 1
RPS: 18544
Avg (μs): 53.927
Med (μs): 53.431
Min (μs): 48.212
Max (μs): 20098.965
90% (μs): 55.455
99% (μs): 58.431
99.9% (μs): 61.006
Request: replace
Batch size: 1
RPS: 18675
Avg (μs): 53.547
Med (μs): 53.071
Min (μs): 47.099
Max (μs): 478.256
90% (μs): 55.085
99% (μs): 58.441
99.9% (μs): 61.567
Request: delete
Batch size: 1
RPS: 18580
Avg (μs): 53.820
Med (μs): 53.311
Min (μs): 47.570
Max (μs): 1339.849
90% (μs): 55.375
99% (μs): 58.861
99.9% (μs): 63.160
Request: insert
Batch size: 1
RPS: 18623
Avg (μs): 53.698
Med (μs): 53.190
Min (μs): 46.948
Max (μs): 1421.182
90% (μs): 55.274
99% (μs): 58.731
99.9% (μs): 62.669
Request: select
Batch size: 1
RPS: 18556
Avg (μs): 53.892
Med (μs): 53.321
Min (μs): 47.019
Max (μs): 1421.422
90% (μs): 55.465
99% (μs): 58.891
99.9% (μs): 62.328
Request: replace
Batch size: 1
RPS: 18574
Avg (μs): 53.839
Med (μs): 53.261
Min (μs): 46.919
Max (μs): 17818.660
90% (μs): 55.395
99% (μs): 58.921
99.9% (μs): 62.859
Request: delete
Batch size: 1
RPS: 18605
Avg (μs): 53.748
Med (μs): 53.230
Min (μs): 46.919
Max (μs): 1607.282
90% (μs): 55.365
99% (μs): 58.520
99.9% (μs): 61.717
Request: insert
Batch size: 1
RPS: 18670
Avg (μs): 53.562
Med (μs): 53.071
Min (μs): 47.299
Max (μs): 858.544
90% (μs): 55.144
99% (μs): 58.280
99.9% (μs): 61.547
Request: select
Batch size: 1
RPS: 18564
Avg (μs): 53.867
Med (μs): 53.351
Min (μs): 47.450
Max (μs): 931.142
90% (μs): 55.485
99% (μs): 58.591
99.9% (μs): 61.877
Request: replace
Batch size: 1
RPS: 18601
Avg (μs): 53.762
Med (μs): 53.210
Min (μs): 46.959
Max (μs): 1587.081
90% (μs): 55.365
99% (μs): 58.701
99.9% (μs): 62.098
Request: delete
Batch size: 1
RPS: 18485
Avg (μs): 54.099
Med (μs): 53.442
Min (μs): 46.888
Max (μs): 1512.719
90% (μs): 55.755
99% (μs): 59.011
99.9% (μs): 62.678
Request: insert
Batch size: 1
RPS: 18571
Avg (μs): 53.847
Med (μs): 53.311
Min (μs): 47.410
Max (μs): 423.100
90% (μs): 55.405
99% (μs): 58.802
99.9% (μs): 62.568
Request: select
Batch size: 1
RPS: 18571
Avg (μs): 53.848
Med (μs): 53.331
Min (μs): 47.129
Max (μs): 948.723
90% (μs): 55.445
99% (μs): 58.651
99.9% (μs): 61.777
Request: replace
Batch size: 1
RPS: 18636
Avg (μs): 53.659
Med (μs): 53.140
Min (μs): 47.089
Max (μs): 977.798
90% (μs): 55.234
99% (μs): 58.430
99.9% (μs): 61.997
Request: delete
Batch size: 1
RPS: 18627
Avg (μs): 53.686
Med (μs): 53.181
Min (μs): 46.959
Max (μs): 1512.818
90% (μs): 55.224
99% (μs): 58.550
99.9% (μs): 62.518
Request: insert
Batch size: 1
RPS: 18645
Avg (μs): 53.635
Med (μs): 53.100
Min (μs): 47.320
Max (μs): 944.305
90% (μs): 55.285
99% (μs): 58.220
99.9% (μs): 61.325
Request: select
Batch size: 1
RPS: 18565
Avg (μs): 53.864
Med (μs): 53.291
Min (μs): 47.550
Max (μs): 1516.585
90% (μs): 55.485
99% (μs): 58.691
99.9% (μs): 62.127
Request: replace
Batch size: 1
RPS: 18658
Avg (μs): 53.595
Med (μs): 53.040
Min (μs): 46.859
Max (μs): 3465.316
90% (μs): 55.214
99% (μs): 58.571
99.9% (μs): 62.919
Request: delete
Batch size: 1
RPS: 18580
Avg (μs): 53.820
Med (μs): 53.321
Min (μs): 47.289
Max (μs): 6332.100
90% (μs): 55.344
99% (μs): 58.942
99.9% (μs): 63.029
Request: insert
Batch size: 1
RPS: 18596
Avg (μs): 53.774
Med (μs): 53.251
Min (μs): 47.089
Max (μs): 1369.937
90% (μs): 55.385
99% (μs): 58.520
99.9% (μs): 61.406
Request: select
Batch size: 1
RPS: 18567
Avg (μs): 53.859
Med (μs): 53.330
Min (μs): 47.610
Max (μs): 825.469
90% (μs): 55.435
99% (μs): 58.530
99.9% (μs): 61.496
Request: replace
Batch size: 1
RPS: 18607
Avg (μs): 53.742
Med (μs): 53.160
Min (μs): 47.270
Max (μs): 433.940
90% (μs): 55.385
99% (μs): 58.871
99.9% (μs): 63.169
Request: delete
Batch size: 1
RPS: 18587
Avg (μs): 53.802
Med (μs): 53.251
Min (μs): 47.209
Max (μs): 47166.285
90% (μs): 55.315
99% (μs): 58.440
99.9% (μs): 61.386
Request: insert
Batch size: 1
RPS: 18599
Avg (μs): 53.766
Med (μs): 53.211
Min (μs): 46.828
Max (μs): 830.338
90% (μs): 55.384
99% (μs): 58.661
99.9% (μs): 61.877
Request: select
Batch size: 1
RPS: 18588
Avg (μs): 53.798
Med (μs): 53.311
Min (μs): 47.550
Max (μs): 1389.504
90% (μs): 55.395
99% (μs): 58.230
99.9% (μs): 60.855
Request: replace
Batch size: 1
RPS: 18644
Avg (μs): 53.636
Med (μs): 53.140
Min (μs): 46.688
Max (μs): 1335.171
90% (μs): 55.254
99% (μs): 58.240
99.9% (μs): 61.406
Request: delete
Batch size: 1
RPS: 18624
Avg (μs): 53.693
Med (μs): 53.231
Min (μs): 47.400
Max (μs): 787.978
90% (μs): 55.204
99% (μs): 58.531
99.9% (μs): 61.235
Request: insert
Batch size: 1
RPS: 18642
Avg (μs): 53.641
Med (μs): 53.140
Min (μs): 47.089
Max (μs): 820.640
90% (μs): 55.204
99% (μs): 58.340
99.9% (μs): 61.055
Request: select
Batch size: 1
RPS: 18566
Avg (μs): 53.861
Med (μs): 53.310
Min (μs): 47.399
Max (μs): 822.182
90% (μs): 55.435
99% (μs): 58.852
99.9% (μs): 62.868
Request: replace
Batch size: 1
RPS: 18580
Avg (μs): 53.822
Med (μs): 53.260
Min (μs): 47.390
Max (μs): 1356.461
90% (μs): 55.405
99% (μs): 58.871
99.9% (μs): 63.289
Request: delete
Batch size: 1
RPS: 18623
Avg (μs): 53.696
Med (μs): 53.200
Min (μs): 47.078
Max (μs): 1300.666
90% (μs): 55.304
99% (μs): 58.371
99.9% (μs): 61.466
Request: insert
Batch size: 1
RPS: 18621
Avg (μs): 53.702
Med (μs): 53.180
Min (μs): 46.929
Max (μs): 8567.925
90% (μs): 55.264
99% (μs): 58.530
99.9% (μs): 61.597
Request: select
Batch size: 1
RPS: 18545
Avg (μs): 53.924
Med (μs): 53.341
Min (μs): 47.619
Max (μs): 51473.809
90% (μs): 55.445
99% (μs): 59.051
99.9% (μs): 62.498
Request: replace
Batch size: 1
RPS: 18643
Avg (μs): 53.639
Med (μs): 53.171
Min (μs): 47.010
Max (μs): 1284.059
90% (μs): 55.165
99% (μs): 58.632
99.9% (μs): 61.417
Request: delete
Batch size: 1
RPS: 18584
Avg (μs): 53.809
Med (μs): 53.261
Min (μs): 47.240
Max (μs): 8146.086
90% (μs): 55.396
99% (μs): 58.902
99.9% (μs): 63.130
Request: insert
Batch size: 1
RPS: 18562
Avg (μs): 53.872
Med (μs): 53.231
Min (μs): 47.461
Max (μs): 13170.730
90% (μs): 55.526
99% (μs): 58.922
99.9% (μs): 62.809
Request: select
Batch size: 1
RPS: 18498
Avg (μs): 54.059
Med (μs): 53.452
Min (μs): 47.400
Max (μs): 1293.290
90% (μs): 55.696
99% (μs): 59.072
99.9% (μs): 63.331
Request: replace
Batch size: 1
RPS: 18641
Avg (μs): 53.645
Med (μs): 53.111
Min (μs): 46.628
Max (μs): 1381.987
90% (μs): 55.265
99% (μs): 58.612
99.9% (μs): 62.129
Request: delete
Batch size: 1
RPS: 18565
Avg (μs): 53.865
Med (μs): 53.281
Min (μs): 47.139
Max (μs): 957.849
90% (μs): 55.466
99% (μs): 59.012
99.9% (μs): 63.450
Request: insert
Batch size: 1
RPS: 18619
Avg (μs): 53.709
Med (μs): 53.191
Min (μs): 46.738
Max (μs): 1547.096
90% (μs): 55.335
99% (μs): 58.611
99.9% (μs): 61.807
Request: select
Batch size: 1
RPS: 18535
Avg (μs): 53.951
